FIPS,UNEMP,INCOME,POP,
00000,8.1,"65,712","331,449,281",
01000,5.9,"51,771","5,024,279",
01001,4.9,"58,233","58,805",
01003,5.6,"59,871","231,767",
01005,7.0,"35,972","25,223",
01007,6.6,"47,918","22,293",
01009,4.1,"52,902","59,134",
01011,5.5,"31,906","10,357",
01013,8.8,"39,944","19,051",
01015,7.1,"47,747","116,441",
01017,6.8,"42,015","34,772",
01019,4.6,"45,982","24,971",
01021,5.0,"49,692","45,014",
01023,6.7,"39,808","12,665",
01025,9.0,"43,822","23,087",
01027,4.0,"40,562","14,236",
01029,4.6,"51,276","15,056",
01031,4.4,"57,299","53,465",
01033,6.6,"46,683","57,227",
01035,7.3,"41,539","11,597",
01037,5.5,"42,024","10,387",
01039,4.9,"44,836","37,570",
01041,5.7,"43,309","13,194",
01043,4.3,"50,897","87,866",
01045,4.9,"45,120","49,326",
01047,10.7,"34,034","38,462",
01049,4.5,"44,277","71,608",
01051,4.9,"62,310","87,977",
01053,6.0,"42,712","36,757",
01055,7.7,"43,047","103,436",
01057,5.0,"44,212","16,321",
01059,4.4,"44,874","32,113",
01061,4.1,"43,089","26,659",
01063,10.9,"28,699","7,730",
01065,9.4,"40,745","14,785",
01067,4.8,"48,597","17,146",
01069,5.4,"50,138","107,202",
01071,5.3,"44,322","52,579",
01073,6.2,"54,127","674,721",
01075,4.9,"42,686","13,972",
01077,5.5,"48,188","93,564",
01079,4.9,"47,797","33,073",
01081,5.2,"54,160","174,241",
01083,4.3,"64,729","103,570",
01085,13.3,"33,930","10,311",
01087,9.6,"34,281","19,532",
01089,4.6,"68,609","388,153",
01091,6.2,"38,838","19,323",
01093,5.1,"44,675","29,341",
01095,4.2,"48,913","97,612",
01097,7.9,"49,492","414,809",
01099,8.2,"40,005","19,772",
01101,7.8,"52,711","228,954",
01103,4.5,"54,355","123,421",
01105,10.9,"29,572","8,511",
01107,6.5,"40,249","19,123",
01109,4.9,"41,271","33,009",
01111,4.7,"42,922","21,967",
01113,5.1,"43,670","59,183",
01115,4.9,"65,403","91,103",
01117,3.9,"77,801","223,024",
01119,7.0,"29,209","12,345",
01121,7.0,"47,719","82,149",
01123,6.9,"47,100","41,311",
01125,6.6,"52,307","227,036",
01127,5.8,"45,991","65,342",
01129,8.0,"48,864","15,388",
01131,14.7,"30,998","10,600",
01133,4.7,"40,827","23,540",
02000,7.8,"77,203","733,391",
02013,4.0,"66,923","3,420",
02016,4.5,"84,726","5,232",
02020,7.4,"82,512","291,247",
02050,11.6,"48,262","18,666",
02060,7.4,"87,950",844,
02068,15.7,"78,434","7,102",
02070,8.2,"57,436","2,617",
02090,6.4,"74,076","1,619",
02100,15.6,"62,548","4,857",
02105,13.5,"53,141","95,655",
02110,6.6,"85,419","2,080",
02122,9.1,"68,625","2,365",
02130,9.6,"75,706","32,255",
02150,6.2,"79,669","58,799",
02158,19.4,"35,369","13,948",
02164,9.4,"51,693","13,101",
02170,8.3,"75,856","8,368",
02180,10.5,"58,464","1,476",
02185,5.9,"84,784","107,081",
02188,12.0,"61,660","10,046",
02195,8.7,"71,296","11,031",
02198,9.2,"50,049","7,793",
02201,,,"3,398",
02220,6.9,"80,660","5,753",
02230,21.5,"74,898",,
02232,,,"8,458",
02240,7.4,"69,646","1,240",
02261,8.7,"74,574",,
02275,8.4,"62,496","6,808",
02280,,,,
02282,8.5,"61,587","2,127",
02290,12.1,"42,063",,
04000,7.9,"62,027",662,
04001,12.8,"35,386","5,343",
04003,7.0,"48,650","7,151,502",
04005,9.7,"58,301","66,021",
04007,7.7,"45,980","125,447",
04009,6.3,"50,685","145,101",
04011,5.5,"68,066","53,272",
04012,7.1,"39,407","38,533",
04013,7.4,"68,634","9,563",
04015,10.0,"49,712","16,557",
04017,10.1,"40,676","4,420,568",
04019,7.7,"56,150","213,267",
04021,7.5,"62,067","106,717",
04023,11.4,"47,779","1,043,433",
04025,7.5,"54,242","425,264",
04027,17.1,"47,024","47,669",
05000,6.1,"49,020","236,209",
05001,4.0,"52,539","203,881",
05003,9.3,"47,744","3,011,524",
05005,5.9,"41,950","17,149",
05007,4.5,"70,775","19,062",
05009,5.3,"50,083","41,627",
05011,5.8,"39,982","284,333",
05013,5.2,"48,415","37,373",
05015,5.7,"43,841","10,545",
05017,10.3,"37,014","4,739",
05019,5.9,"44,105","28,260",
05021,6.0,"40,686","10,208",
05023,7.6,"46,214","21,446",
05025,6.1,"53,773","14,552",
05027,6.8,"42,964","24,711",
05029,6.0,"46,924","7,550",
05031,5.3,"47,766","22,801",
05033,5.4,"44,600","20,715",
05035,8.3,"41,976","111,231",
05037,6.1,"45,273","60,133",
05039,5.3,"41,314","48,163",
05041,7.0,"37,005","16,833",
05043,6.9,"44,162","6,482",
05045,5.4,"58,482","11,395",
05047,5.6,"45,670","17,350",
05049,5.1,"32,926","123,498",
05051,8.0,"45,786","17,097",
05053,5.2,"58,566","12,075",
05055,6.0,"47,098","100,180",
05057,5.2,"40,867","17,958",
05059,5.8,"45,860","45,736",
05061,5.0,"41,427","20,065",
05063,5.8,"47,903","33,040",
05065,8.4,"40,233","12,785",
05067,7.1,"38,636","37,938",
05069,8.0,"40,555","13,577",
05071,6.3,"40,396","16,755",
05073,7.6,"37,164","67,260",
05075,6.1,"39,604","25,749",
05077,7.5,"30,421","6,308",
05079,6.0,"44,272","16,216",
05081,6.4,"43,257","8,600",
05083,6.6,"42,249","12,941",
05085,5.5,"62,782","12,026",
05087,3.9,"48,016","21,131",
05089,6.4,"38,760","74,015",
05091,6.9,"50,905","16,521",
05093,9.0,"39,990","16,826",
05095,6.7,"34,289","42,600",
05097,6.8,"39,591","40,685",
05099,5.9,"36,528","6,799",
05101,5.0,"37,648","8,484",
05103,6.0,"46,393","8,310",
05105,5.5,"50,560","7,225",
05107,9.1,"31,521","22,650",
05109,5.9,"44,426","10,019",
05111,5.5,"40,536","16,568",
05113,6.6,"39,722","10,171",
05115,5.9,"47,519","22,965",
05117,5.3,"46,205","19,221",
05119,7.4,"52,684","63,381",
05121,5.9,"42,875","8,282",
05123,7.9,"34,389","399,125",
05125,5.1,"66,944","18,571",
05127,4.5,"38,065","23,090",
05129,6.4,"34,712","123,416",
05131,6.0,"48,945","9,836",
05133,5.8,"43,493","7,828",
05135,7.1,"37,591","127,799",
05137,7.1,"36,930","15,839",
05139,8.3,"46,602","17,271",
05141,7.1,"38,096","12,359",
05143,4.6,"52,158","39,054",
05145,6.2,"46,388","15,796",
05147,5.8,"36,568","245,871",
05149,5.1,"44,469","76,822",
06000,10.1,"80,423","6,269",
06001,8.8,"107,589","20,263",
06003,11.2,"58,112","39,538,223",
06005,9.1,"62,640","1,682,353",
06007,9.2,"58,394","1,204",
06009,7.6,"68,248","40,474",
06011,16.0,"59,048","211,632",
06013,8.9,"106,555","45,292",
06015,9.5,"48,979","21,839",
06017,8.3,"86,202","1,165,927",
06019,11.3,"56,926","27,743",
06021,8.9,"55,682","191,185",
06023,8.4,"51,134","1,008,654",
06025,22.5,"48,102","28,917",
06027,7.8,"59,605","136,463",
06029,12.5,"53,245","179,702",
06031,11.6,"57,297","19,016",
06033,9.6,"46,897","909,235",
06035,7.1,"53,613","152,486",
06037,12.8,"72,721","68,163",
06039,10.8,"61,105","32,730",
06041,6.7,"112,069","10,014,009",
06043,10.9,"52,760","156,255",
06045,8.9,"52,309","262,321",
06047,12.2,"59,733","17,131",
06049,8.5,"45,311","91,601",
06051,11.8,"66,226","281,202",
06053,10.8,"76,509","8,700",
06055,8.7,"90,230","13,195",
06057,8.0,"69,550","439,035",
06059,8.8,"95,761","138,019",
06061,7.3,"97,688","102,241",
06063,10.7,"59,376","3,186,989",
06065,9.9,"72,905","404,739",
06067,9.3,"71,891","19,790",
06069,9.9,"84,209","2,418,185",
06071,9.4,"67,398","1,585,055",
06073,9.2,"83,576","64,209",
06075,7.8,"121,795","2,181,654",
06077,11.3,"68,458","3,298,634",
06079,7.7,"76,599","873,965",
06081,6.9,"135,234","779,233",
06083,8.0,"74,530","282,424",
06085,7.0,"132,444","764,442",
06087,9.5,"85,770","448,229",
06089,8.7,"61,464","1,936,259",
06091,8.0,"55,862","270,861",
06093,9.7,"45,954","182,155",
06095,9.5,"85,704","3,236",
06097,7.9,"87,084","44,076",
06099,10.7,"62,761","453,491",
06101,11.0,"60,910","488,863",
06103,8.8,"51,672","552,878",
06105,8.0,"43,881","99,633",
06107,13.2,"56,776","65,829",
06109,10.4,"64,729","16,112",
06111,8.6,"91,446","473,117",
06113,7.5,"70,951","55,620",
06115,10.5,"56,607","843,843",
08000,7.3,"77,104","216,403",
08001,8.0,"75,341","81,575",
08003,6.4,"38,213","5,773,714",
08005,7.9,"82,364","519,572",
08007,7.6,"57,604","16,376",
08009,2.3,"38,945","655,070",
08011,4.4,"35,764","13,359",
08013,6.2,"88,341","3,506",
08014,6.6,"106,892","5,650",
08015,6.3,"60,331","330,758",
08017,2.4,"52,337","74,112",
08019,8.5,"79,900","19,476",
08021,5.6,"40,944","1,748",
08023,7.2,"34,731","9,397",
08025,5.4,"38,224","7,461",
08027,5.0,"57,381","3,499",
08029,6.6,"51,525","5,922",
08031,8.2,"75,456","4,704",
08033,6.9,"50,232","31,196",
08035,5.8,"123,697","715,522",
08037,9.5,"89,268","2,326",
08039,4.7,"101,733","357,978",
08041,7.3,"72,675","55,731",
08043,7.7,"52,239","26,062",
08045,6.8,"73,788","730,395",
08047,11.3,"74,806","48,939",
08049,8.4,"71,029","61,685",
08051,6.6,"60,408","5,808",
08053,4.2,"61,391","15,717",
08055,9.4,"39,955","16,918",
08057,4.3,"53,577",788,
08059,7.1,"89,696","6,820",
08061,2.3,"46,901","1,379",
08063,2.8,"42,951","582,910",
08065,8.2,"56,850","1,446",
08067,6.8,"77,829","7,087",
08069,6.3,"75,332","7,436",
08071,7.4,"43,452","55,638",
08073,4.5,"43,077","359,066",
08075,4.7,"58,429","14,555",
08077,7.5,"60,249","5,675",
08079,5.8,"63,015","21,528",
08081,6.0,"63,232","155,703",
08083,7.1,"52,641",865,
08085,6.6,"50,707","13,292",
08087,5.4,"57,535","25,849",
08089,6.2,"43,723","42,679",
08091,8.1,"72,836","29,111",
08093,5.7,"77,221","18,690",
08095,2.7,"53,432","4,874",
08097,10.5,"92,820","17,390",
08099,4.4,"47,051","4,530",
08101,8.2,"51,075","17,358",
08103,5.4,"65,960","11,999",
08105,7.1,"48,496","168,162",
08107,7.9,"87,691","6,529",
08109,7.0,"37,004","11,539",
08111,6.7,"50,524","24,829",
08113,10.9,"77,209","6,368",
08115,3.4,"42,808",705,
08117,9.8,"86,570","8,072",
08119,7.5,"70,599","2,404",
08121,3.1,"53,263","31,055",
08123,7.0,"78,160","24,710",
08125,2.8,"52,841","4,817",
09000,7.9,"78,920","328,981",
09001,7.9,"96,966","9,988",
09003,8.1,"75,336","3,605,944",
09005,6.9,"81,015","957,419",
09007,6.5,"81,721","899,498",
09009,8.0,"69,687","185,186",
09011,9.6,"75,226","164,245",
09013,6.2,"90,181","864,835",
09015,7.8,"63,309","268,555",
10000,7.8,"70,348","149,788",
10001,8.6,"58,804","116,418",
10003,7.7,"76,076","989,948",
10005,7.5,"64,839","181,851",
11000,8.0,"90,395","570,719",
11001,8.0,"90,395","237,378",
12000,7.7,"59,198","689,545",
12001,5.4,"49,880","689,545",
12003,4.9,"60,454","21,538,187",
12005,6.1,"58,376","278,468",
12007,5.9,"47,509","28,259",
12009,6.6,"57,582","175,216",
12011,8.8,"61,429","28,303",
12013,5.2,"41,399","606,612",
12015,7.3,"54,756","1,944,375",
12017,8.4,"49,762","13,648",
12019,5.4,"75,776","186,847",
12021,6.9,"76,415","153,843",
12023,5.8,"47,087","218,245",
12027,5.2,"41,673","375,752",
12029,5.5,"39,793","69,698",
12031,6.7,"58,339","33,976",
12033,6.7,"52,822","16,759",
12035,7.6,"62,831","995,567",
12037,5.4,"47,504","321,905",
12039,6.8,"42,975","115,378",
12041,4.9,"46,171","12,451",
12043,5.6,"45,412","43,826",
12045,5.9,"53,228","17,864",
12047,7.6,"39,241","12,126",
12049,6.5,"41,430","14,192",
12051,8.1,"45,107","14,004",
12053,8.1,"50,705","25,327",
12055,7.7,"45,723","39,619",
12057,7.1,"61,133","194,515",
12059,5.5,"38,874","101,235",
12061,7.4,"61,173","1,459,762",
12063,5.4,"40,543","19,653",
12065,5.6,"47,192","159,788",
12067,4.2,"45,480","47,319",
12069,8.9,"57,660","14,510",
12071,7.3,"62,364","8,226",
12073,5.8,"55,081","383,956",
12075,6.0,"41,405","760,822",
12077,4.8,"44,236","292,198",
12079,6.0,"37,919","42,915",
12081,6.8,"64,151","7,974",
12083,7.0,"49,079","17,968",
12085,6.1,"70,806","399,710",
12086,8.0,"54,991","375,908",
12087,7.9,"67,528","158,431",
12089,5.7,"72,818","2,701,767",
12091,5.5,"63,520","82,874",
12093,5.4,"45,225","90,352",
12095,10.6,"63,133","211,668",
12097,13.5,"52,270","39,644",
12099,7.6,"66,621","1,429,908",
12101,7.2,"55,745","388,656",
12103,7.0,"56,708","1,492,191",
12105,9.0,"51,817","561,891",
12107,7.9,"41,986","959,107",
12109,5.3,"90,839","725,046",
12111,7.8,"57,292","73,321",
12113,5.2,"66,139","273,425",
12115,6.8,"66,258","329,226",
12117,7.2,"69,954","188,000",
12119,7.9,"63,464","434,006",
12121,5.6,"49,453","470,856",
12123,6.2,"42,987","129,752",
12125,4.7,"50,893","43,474",
12127,7.6,"53,554","21,796",
12129,4.5,"58,640","16,147",
12131,5.9,"62,600","553,543",
12133,5.8,"42,518","33,764",
13000,6.5,"61,950","75,305",
13001,4.7,"43,821","25,318",
13003,3.9,"38,581","10,711,908",
13005,4.9,"41,807","18,444",
13007,6.0,"39,515","8,286",
13009,6.9,"44,429","11,140",
13011,4.3,"53,481","2,876",
13013,5.1,"68,924","43,799",
13015,6.2,"60,254","18,035",
13017,6.9,"35,931","83,505",
13019,5.8,"42,058","108,901",
13021,7.5,"43,066","17,194",
13023,6.5,"48,115","18,160",
13025,5.4,"44,680","157,346",
13027,5.2,"39,554","12,583",
13029,5.3,"79,296","18,021",
13031,6.5,"48,788","16,301",
13033,7.2,"42,632","44,738",
13035,6.2,"47,410","81,099",
13037,5.1,"34,960","24,596",
13039,4.7,"58,552","25,434",
13043,4.4,"41,665","5,573",
13045,6.4,"59,193","54,768",
13047,4.3,"60,753","10,981",
13049,3.8,"42,891","119,148",
13051,7.6,"57,122","67,872",
13053,6.2,"46,106","12,518",
13055,8.4,"41,561","295,291",
13057,4.9,"88,635","9,565",
13059,6.4,"41,036","24,965",
13061,12.4,"24,732","266,620",
13063,10.3,"50,737","128,671",
13065,4.0,"42,928","2,848",
13067,5.9,"79,622","297,595",
13069,5.8,"41,675","6,749",
13071,4.5,"41,899","766,149",
13073,4.2,"88,285","43,092",
13075,4.7,"40,670","45,898",
13077,6.2,"79,232","156,010",
13079,5.0,"50,411","17,229",
13081,7.9,"40,482","146,158",
13083,4.1,"45,986","12,130",
13085,4.7,"69,155","20,128",
13087,4.8,"40,473","16,251",
13089,8.0,"63,606","26,798",
13091,6.0,"41,118","29,367",
13093,7.7,"37,109","764,382",
13095,8.6,"36,894","19,925",
13097,7.4,"62,915","11,208",
13099,5.8,"40,011","85,790",
13101,3.9,"40,408","144,237",
13103,5.0,"71,628","10,854",
13105,6.9,"40,962","3,697",
13107,7.1,"38,529","64,769",
13109,5.1,"41,425","19,637",
13111,4.7,"47,980","22,768",
13113,5.4,"94,563","10,774",
13115,6.3,"50,520","25,319",
13117,4.6,"113,332","119,194",
13119,5.9,"47,691","98,584",
13121,8.0,"79,235","251,283",
13123,4.7,"57,007","23,424",
13125,4.1,"49,350","1,066,710",
13127,6.8,"58,017","31,353",
13129,5.5,"53,373","2,884",
13131,4.4,"42,603","84,499",
13133,5.9,"60,973","57,544",
13135,6.3,"72,225","26,236",
13137,5.4,"51,296","18,915",
13139,4.7,"66,698","957,062",
13141,8.8,"31,715","46,031",
13143,5.9,"49,020","203,136",
13145,4.6,"74,052","8,735",
13147,5.4,"50,647","29,919",
13149,6.5,"48,984","34,668",
13151,7.4,"72,927","25,828",
13153,5.2,"65,641","11,412",
13155,5.5,"42,317","240,712",
13157,4.4,"66,645","163,633",
13159,4.9,"59,207","9,666",
13161,5.1,"40,603","75,907",
13163,6.7,"35,379","14,588",
13165,6.3,"32,808","14,779",
13167,4.9,"37,771","15,709",
13169,4.6,"56,819","8,674",
13171,6.3,"57,402","9,189",
13173,5.2,"42,667","28,347",
13175,6.7,"42,018","18,500",
13177,4.6,"72,425","9,877",
13179,6.2,"51,410","49,570",
13181,5.4,"45,299","33,163",
13183,4.4,"52,051","65,256",
13185,6.0,"46,450","7,690",
13187,4.8,"57,078","16,168",
13189,7.8,"44,473","118,251",
13191,5.7,"46,682","33,488",
13193,6.7,"34,634","21,632",
13195,5.2,"52,326","10,975",
13197,5.1,"41,190","12,082",
13199,8.6,"43,571","30,120",
13201,4.0,"41,769","7,498",
13205,6.5,"37,383","20,613",
13207,5.1,"70,488","6,000",
13209,5.4,"43,657","21,755",
13211,5.4,"67,089","27,957",
13213,7.6,"50,061","8,610",
13215,7.8,"47,035","20,097",
13217,7.1,"58,222","39,973",
13219,3.8,"100,878","206,922",
13221,4.8,"54,346","112,483",
13223,5.4,"76,580","41,799",
13225,6.2,"49,815","14,825",
13227,4.8,"66,183","168,661",
13229,4.5,"46,701","27,981",
13231,5.0,"74,905","33,216",
13233,6.0,"47,896","19,716",
13235,4.5,"42,274","18,889",
13237,6.6,"62,282","42,853",
13239,6.5,"35,522","9,855",
13241,5.3,"46,639","22,047",
13243,5.9,"33,505","2,235",
13245,7.6,"44,810","16,883",
13247,7.6,"60,281","6,425",
13249,4.3,"51,129","206,607",
13251,8.2,"42,331","93,570",
13253,5.0,"38,618","4,547",
13255,7.6,"49,237","14,067",
13257,6.4,"45,416","9,147",
13259,5.7,"34,566","67,306",
13261,7.4,"40,250","26,784",
13263,6.9,"41,045","5,314",
13265,7.2,"37,046","29,616",
13267,4.3,"41,457","5,733",
13269,6.7,"28,234","1,559",
13271,9.9,"36,264","22,842",
13273,7.5,"37,122","7,816",
13275,6.2,"47,978","12,477",
13277,5.1,"47,764","9,185",
13279,6.6,"41,442","45,798",
13281,6.7,"49,023","41,344",
13283,6.0,"37,478","27,030",
13285,7.3,"47,296","12,493",
13287,7.2,"35,400","6,406",
13289,7.4,"44,079","69,426",
13291,4.4,"57,049","9,006",
13293,6.6,"40,926","8,022",
13295,4.9,"47,548","24,632",
13297,5.4,"67,007","27,700",
13299,5.6,"37,642","67,654",
13301,6.8,"37,313","96,673",
13303,6.4,"41,674","36,251",
13305,5.6,"47,382","5,215",
13307,5.7,"41,547","19,988",
13309,7.2,"35,927","30,144",
13311,4.4,"54,786","2,348",
13313,7.3,"53,115","7,471",
13315,5.7,"38,261","28,003",
13317,6.7,"39,716","102,864",
13319,5.4,"43,902","8,766",
13321,5.4,"43,142","9,565",
15000,11.6,"83,734","8,877",
15001,11.4,"64,929","20,784",
15003,10.2,"86,946","1,455,271",
15007,16.2,"73,029","200,629",
15009,17.8,"77,375","1,016,508",
16000,5.4,"60,830",82,
16001,5.4,"72,295","73,298",
16003,9.3,"50,042","164,754",
16005,4.9,"53,306","1,839,106",
16007,4.2,"54,550","494,967",
16009,7.5,"49,303","4,379",
16011,3.9,"59,959","87,018",
16013,7.8,"75,778","6,372",
16015,8.0,"64,443","9,530",
16017,7.5,"56,729","47,992",
16019,4.0,"65,165","24,272",
16021,6.2,"50,709","7,610",
16023,3.6,"51,742","47,110",
16025,4.8,"56,014","123,964",
16027,5.9,"58,670","12,056",
16029,3.6,"61,518","2,574",
16031,3.7,"53,284","1,077",
16033,4.0,"48,726","231,105",
16035,8.2,"49,816","7,027",
16037,5.0,"49,055","24,655",
16039,4.8,"47,796",790,
16041,3.6,"55,421","8,734",
16043,3.6,"56,162","4,275",
16045,5.9,"53,733","28,666",
16047,3.8,"50,205","14,194",
16049,6.7,"48,866","13,388",
16051,3.4,"63,078","19,123",
16053,4.0,"56,320","15,598",
16055,6.9,"62,764","16,541",
16057,4.7,"54,999","30,891",
16059,6.7,"46,062","24,237",
16061,7.7,"45,342","171,362",
16063,5.8,"50,608","39,517",
16065,2.7,"46,177","7,974",
16067,3.8,"56,173","3,533",
16069,4.9,"67,645","5,127",
16071,4.2,"55,833","52,913",
16073,6.0,"48,395","21,613",
16075,5.3,"53,643","42,090",
16077,4.1,"50,981","4,564",
16079,9.1,"39,239","11,913",
16081,5.7,"73,637","25,386",
16083,5.3,"56,141","7,878",
16085,7.9,"64,041","13,169",
16087,5.4,"45,813","11,630",
17000,9.5,"69,212","90,046",
17001,6.3,"55,942","11,746",
17003,9.8,"37,408","10,500",
17005,6.8,"53,447","12,812,508",
17007,11.2,"72,426","65,737",
17009,3.8,"60,254","5,240",
17011,7.6,"57,935","16,725",
17013,7.6,"63,373","53,448",
17015,7.2,"56,468","6,244",
17017,6.7,"51,011","33,244",
17019,6.4,"53,485","4,437",
17021,8.1,"51,573","15,702",
17023,7.9,"58,323","13,042",
17025,9.4,"49,377","205,865",
17027,5.8,"67,201","34,032",
17029,7.4,"50,467","15,455",
17031,11.1,"69,375","13,288",
17033,7.0,"50,352","36,899",
17035,5.7,"53,991","46,863",
17037,8.2,"64,676","5,275,541",
17039,6.5,"59,521","18,679",
17041,5.6,"64,283","10,450",
17043,7.9,"96,354","100,420",
17045,6.6,"51,333","15,516",
17047,8.2,"54,930","19,740",
17049,6.6,"58,943","932,877",
17051,7.5,"48,913","16,866",
17053,6.4,"55,369","6,245",
17055,10.5,"43,695","34,668",
17057,8.6,"50,461","21,488",
17059,9.2,"46,515","13,534",
17061,6.5,"52,116","37,804",
17063,8.8,"83,135","33,609",
17065,6.7,"51,031","4,946",
17067,6.9,"53,724","11,985",
17069,9.2,"44,573","52,533",
